Fecha,Tiempo en la página,Muestreo de carga de página,Promedio de tiempo en la página,Tiempo de búsqueda de dominio (ms),Promedio de páginas vistas por búsqueda,Tiempo de descarga de la página (ms),Tiempo medio de descarga de la página (s),Tiempo de redirección (ms),Tiempo medio de redirección (s),Tiempo de conexión de servidor (ms),Tiempo medio de conexión de servidor (es),Tiempo medio de respuesta de servidor (es),Tiempo medio de respuesta de servidor (es),Muestra de métricas de velocidad,Tiempo de interacción de documento (milésimas de segundo),Tiempo medio de interacción de documento (segundos),Tiempo de carga de contenido de documento (milésimas de segundo),Muestra de métricas de latencia de DOM
20180217,257355,21,105.64655172413794,180,null,5047,0.24033333333333334,7928,0.37752380952380954,4266,0.20314285714285713,1.2582380952380952,1.2582380952380952,21,78774,3.7511428571428573,78924,21
20180218,132895,18,81.03353658536585,439,null,14094,0.783,128,0.007111111111111111,1676,0.09311111111111112,1.7800555555555557,1.7800555555555557,18,73921,4.106722222222222,75599,18
20180219,516471,39,100.42212716313436,169,null,25217,0.6465897435897435,286,0.007333333333333333,7970,0.20435897435897438,1.7513333333333332,1.7513333333333332,39,421347,10.80376923076923,422865,39
20180220,487341,15,93.61140991164042,440,null,5757,0.38380000000000003,100,0.006666666666666667,2068,0.13786666666666667,0.9671333333333333,0.9671333333333333,15,65314,4.354266666666667,65594,15
20180221,435887,7,93.53798283261803,29,null,2895,0.41357142857142853,124,0.017714285714285714,72,0.010285714285714287,0.36057142857142854,0.36057142857142854,7,17540,2.505714285714286,17542,7
20180222,555816,11,95.46822397801442,30,null,23527,2.138818181818182,1901,0.17281818181818182,818,0.07436363636363635,0.9646363636363636,0.9646363636363636,11,70065,6.369545454545455,70198,11
20180223,479731,21,100.3411420204978,50,null,4572,0.21771428571428572,872,0.041523809523809525,1231,0.05861904761904762,1.428904761904762,1.428904761904762,21,67942,3.2353333333333336,68273,21
20180224,335487,14,98.78886925795052,973,null,3647,0.2605,617,0.04407142857142857,2625,0.1875,0.7560714285714285,0.7560714285714285,14,32006,2.2861428571428575,32099,14
20180225,174205,19,81.25233208955224,569,null,19340,1.0178947368421054,380,0.02,4926,0.2592631578947368,1.444421052631579,1.444421052631579,19,83396,4.389263157894737,83615,19
20180226,509409,76,99.22263342423062,189,null,27978,0.3681315789473684,1761,0.02317105263157895,7793,0.10253947368421051,1.9198815789473682,1.9198815789473682,76,274231,3.6083026315789475,274665,76
20180227,541759,51,97.38612259572173,777,null,20881,0.4094313725490196,9460,0.18549019607843137,6273,0.123,0.6755294117647058,0.6755294117647058,51,191398,3.752901960784314,191453,51
20180228,473053,87,63.99526515151515,1090,null,16857,0.1937586206896552,11366,0.13064367816091954,8635,0.09925287356321838,0.8026666666666666,0.8026666666666666,87,223209,2.5656206896551725,223359,87
20180301,433447,40,59.01252552756978,369,null,8069,0.201725,6936,0.1734,5920,0.148,0.64095,0.64095,40,123879,3.096975,124052,40
20180302,282669,25,47.34031150561045,53,null,14526,0.58104,161,0.00644,7279,0.29116000000000003,1.04528,1.04528,25,120918,4.836720000000001,120948,25
20180303,159457,27,37.3873388042204,4358,null,4083,0.15122222222222223,3418,0.1265925925925926,8068,0.2988148148148148,0.894962962962963,0.894962962962963,27,83154,3.0797777777777777,83167,27
20180304,171177,20,37.07537361923327,2,null,902,0.0451,3586,0.17930000000000001,1054,0.052700000000000004,0.36939999999999995,0.36939999999999995,20,46554,2.3276999999999997,46576,20
20180305,289175,9,40.88434893256044,89,null,291,0.03233333333333334,38,0.004222222222222223,758,0.08422222222222223,0.3313333333333333,0.3313333333333333,9,9490,1.0544444444444443,9494,9
20180306,264037,40,43.220985431330824,10,null,12362,0.30905,900,0.0225,10234,0.25585,0.85945,0.85945,40,107158,2.67895,107190,40
20180307,294074,32,48.792765886842545,780,null,7513,0.23478125,5774,0.1804375,4082,0.1275625,0.66271875,0.66271875,32,109908,3.434625,109956,32
20180308,201255,75,41.17328150572831,140,null,12422,0.16562666666666667,2455,0.032733333333333337,6612,0.08816,1.1381333333333334,1.1381333333333334,75,321351,4.284680000000001,321507,75
20180309,252306,33,43.644006227296316,574,null,16784,0.5086060606060606,453,0.013727272727272727,4229,0.12815151515151516,1.0062424242424242,1.0062424242424242,33,109256,3.310787878787879,109309,33
20180310,167872,12,43.332989158492516,248,null,17940,1.495,568,0.04733333333333334,1972,0.16433333333333333,0.4433333333333333,0.4433333333333333,12,53082,4.4235,53112,12
20180311,117022,16,40.916783216783216,0,null,1588,0.09925,490,0.030625,3452,0.21575,0.71925,0.71925,16,82464,5.154,82482,16
20180312,325016,42,46.08195094286119,471,null,2458,0.05852380952380953,3451,0.08216666666666667,2158,0.05138095238095238,0.4908809523809524,0.4908809523809524,42,55357,1.3180238095238097,55381,42
20180313,271367,52,40.78253681995792,534,null,9130,0.17557692307692307,16238,0.3122692307692308,8069,0.15517307692307694,0.7595961538461539,0.7595961538461539,52,149011,2.8655961538461536,149080,52
20180314,264275,56,43.95060701812739,465,null,5627,0.10048214285714287,6070,0.10839285714285714,5432,0.097,0.9694107142857143,0.9694107142857143,56,197602,3.5286071428571426,197629,56
20180315,248531,108,47.91420859841912,12773,null,37189,0.3443425925925926,2384,0.022074074074074072,21114,0.1955,0.9275462962962963,0.9275462962962963,108,398392,3.688814814814815,398688,108
20180316,236093,14,45.03872567722244,276,null,3793,0.27092857142857146,784,0.056,11965,0.8546428571428571,0.6485714285714286,0.6485714285714286,14,51454,3.6752857142857143,51462,14
20180317,176954,105,43.767994063814,238,null,8698,0.08283809523809524,1408,0.01340952380952381,18081,0.1722,0.6759142857142857,0.6759142857142857,105,191668,1.8254095238095238,191742,105
20180318,146302,95,39.86430517711172,1488,null,35552,0.3742315789473684,2889,0.030410526315789475,12452,0.13107368421052631,0.6521368421052632,0.6521368421052632,95,380833,4.008768421052632,381271,95
20180319,171388,104,39.7375376767911,1485,null,10954,0.10532692307692308,4416,0.04246153846153846,8660,0.08326923076923078,1.0728173076923075,1.0728173076923075,104,264738,2.5455576923076926,264852,104
20180320,269862,54,44.33415475603746,1036,null,8899,0.1647962962962963,3486,0.06455555555555556,8166,0.15122222222222223,1.7192407407407406,1.7192407407407406,54,233591,4.325759259259259,233759,54
20180321,312952,89,49.30707420828738,568,null,15723,0.1766629213483146,11002,0.12361797752808988,13651,0.15338202247191013,0.8604269662921348,0.8604269662921348,89,265586,2.984112359550562,265950,89
20180322,276363,44,41.94308696312035,1941,null,6388,0.1451818181818182,1439,0.03270454545454545,12971,0.2947954545454546,0.5582272727272728,0.5582272727272728,44,131357,2.9853863636363633,131408,44
20180323,279578,142,44.49045194143857,791,null,29417,0.20716197183098592,22370,0.15753521126760564,24369,0.171612676056338,0.7749788732394367,0.7749788732394367,142,524820,3.6959154929577465,524982,142
20180324,210415,78,43.645509230450116,402,null,14080,0.18051282051282053,2386,0.03058974358974359,7192,0.0922051282051282,0.5385897435897435,0.5385897435897435,78,141722,1.816948717948718,141794,78
20180325,168216,15,43.897703549060545,663,null,7559,0.5039333333333333,58,0.0038666666666666667,2884,0.19226666666666667,1.0331333333333335,1.0331333333333335,15,59888,3.9925333333333333,59894,15
20180326,241189,25,79.94332117998012,41,null,1700,0.068,914,0.03656,868,0.03472,0.49992000000000003,0.49992000000000003,25,51587,2.06348,51592,25
20180327,245838,115,93.97477064220183,246,null,18406,0.16005217391304347,5119,0.04451304347826087,1902,0.01653913043478261,1.0120173913043478,1.0120173913043478,115,181691,1.5799217391304348,181726,115
20180328,183739,21,80.58728070175438,530,null,3348,0.15942857142857142,5390,0.2566666666666667,372,0.017714285714285714,0.9381428571428571,0.9381428571428571,21,42633,2.0301428571428572,42641,21
