Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20180526,Google Search,Phrase match,993,0,128082,128984.89425981873,392.88957055214723,0.3282980866062437,0,0,0,0,0
20180526,Google Search,Exact match,729,0,32671,44816.1865569273,228.46853146853147,0.19615912208504802,0,0,0,0,0
20180526,Search partners,Phrase match,62,0,3042,49064.51612903226,276.54545454545456,0.1774193548387097,0,0,0,0,0
20180526,Google Search,Broad match,366,0,61414,167797.81420765026,516.0840336134454,0.3251366120218579,0,0,0,0,0
20180527,Google Search,Phrase match,883,0,148150,167780.2944507361,464.42006269592474,0.36126840317100795,0,0,0,0,0
20180527,Google Search,Exact match,673,0,40849,60696.87964338781,340.4083333333333,0.17830609212481427,0,0,0,0,0
20180527,Search partners,Phrase match,130,0,9521,73238.46153846153,307.1290322580645,0.23846153846153847,0,0,0,0,0
20180527,Search partners,Exact match,27,0,476,17629.62962962963,238,0.07407407407407407,0,0,0,0,0
20180527,Google Search,Broad match,412,0,106690,258956.31067961166,616.7052023121387,0.4199029126213592,0,0,0,0,0
20180527,Search partners,Broad match,15,0,1379,91933.33333333334,229.83333333333334,0.4,0,0,0,0,0
20180528,Search partners,Phrase match,80,0,14497,181212.5,453.03125,0.4,0,0,0,0,0
20180528,Google Search,Exact match,745,0,79961,107330.20134228187,462.2023121387283,0.23221476510067113,0,0,0,0,0
20180528,Search partners,Broad match,14,0,1567,111928.57142857142,313.4,0.35714285714285715,0,0,0,0,0
20180528,Google Search,Broad match,454,0,166375,366464.7577092511,836.0552763819095,0.43832599118942733,0,0,0,0,0
20180528,Google Search,Phrase match,935,0,233494,249726.2032085561,589.631313131313,0.4235294117647059,0,0,0,0,0
20180528,Search partners,Exact match,25,0,163,6520,163,0.04,0,0,0,0,0
20180529,Google Search,Exact match,901,0,59507,66045.5049944506,316.52659574468083,0.20865704772475027,0,0,0,0,0
20180529,Search partners,Exact match,33,0,592,17939.39393939394,296,0.06060606060606061,0,0,0,0,0
20180529,Google Search,Broad match,452,0,162177,358798.6725663716,840.2953367875648,0.4269911504424779,0,0,0,0,0
20180529,Search partners,Phrase match,108,0,7856,72740.74074074074,280.5714285714286,0.25925925925925924,0,0,0,0,0
20180529,Google Search,Phrase match,1093,0,250703,229371.4547118024,568.4875283446712,0.40347666971637697,0,0,0,0,0
20180529,Search partners,Broad match,18,0,3033,168500,433.2857142857143,0.3888888888888889,0,0,0,0,0
20180530,Search partners,Exact match,46,0,683,14847.826086956522,170.75,0.08695652173913043,0,0,0,0,0
20180530,Google Search,Exact match,751,0,59380,79067.90945406124,401.2162162162162,0.1970705725699068,0,0,0,0,0
20180530,Search partners,Phrase match,102,0,13445,131813.72549019608,420.15625,0.3137254901960784,0,0,0,0,0
20180530,Google Search,Broad match,456,0,162413,356168.8596491228,780.8317307692307,0.45614035087719296,0,0,0,0,0
20180530,Search partners,Broad match,21,0,2354,112095.23809523808,261.55555555555554,0.42857142857142855,0,0,0,0,0
20180530,Google Search,Phrase match,1003,0,231253,230561.31605184448,549.2945368171022,0.419740777666999,0,0,0,0,0
20180531,Google Search,Broad match,529,0,136707,258425.33081285443,670.1323529411765,0.3856332703213611,0,0,0,0,0
20180531,Google Search,Phrase match,992,0,221027,222809.47580645164,553.9523809523808,0.4022177419354839,0,0,0,0,0
20180531,Search partners,Broad match,35,0,5843,166942.85714285713,389.5333333333333,0.42857142857142855,0,0,0,0,0
20180531,Search partners,Phrase match,96,0,9251,96364.58333333333,355.80769230769226,0.2708333333333333,0,0,0,0,0
20180531,Google Search,Exact match,802,0,54898,68451.37157107232,321.0409356725146,0.21321695760598502,0,0,0,0,0
20180531,Search partners,Exact match,20,0,795,39750,265,0.15,0,0,0,0,0
20180601,Google Search,Broad match,411,0,110544,268963.50364963507,650.2588235294118,0.41362530413625304,0,0,0,0,0
20180601,Google Search,Phrase match,736,0,193923,263482.3369565217,560.471098265896,0.4701086956521739,0,0,0,0,0
20180601,Search partners,Exact match,21,0,40,1904.7619047619048,40,0.047619047619047616,0,0,0,0,0
20180601,Google Search,Exact match,391,0,36568,93524.29667519181,287.93700787401576,0.3248081841432225,0,0,0,0,0
20180601,Search partners,Broad match,14,0,3590,256428.57142857142,398.8888888888889,0.6428571428571429,0,0,0,0,0
20180601,Search partners,Phrase match,64,0,11861,185328.125,409,0.453125,0,0,0,0,0
20180602,Search partners,Exact match,22,0,273,12409.09090909091,136.5,0.09090909090909091,0,0,0,0,0
20180602,Search partners,Phrase match,84,0,6627,78892.85714285713,174.39473684210526,0.4523809523809524,0,0,0,0,0
20180602,Google Search,Exact match,403,0,39243,97377.1712158809,278.3191489361702,0.34987593052109184,0,0,0,0,0
20180602,Search partners,Broad match,27,0,1591,58925.92592592593,198.875,0.2962962962962963,0,0,0,0,0
20180602,Google Search,Phrase match,604,0,108548,179715.23178807946,386.29181494661924,0.4652317880794702,0,0,0,0,0
20180602,Google Search,Broad match,349,0,62932,180320.91690544414,473.17293233082705,0.38108882521489973,0,0,0,0,0
20180603,Search partners,Exact match,8,0,123,15375,123,0.125,0,0,0,0,0
20180603,Google Search,Exact match,301,0,29996,99654.4850498339,291.22330097087377,0.34219269102990035,0,0,0,0,0
20180603,Search partners,Broad match,13,0,1821,140076.9230769231,303.5,0.46153846153846156,0,0,0,0,0
20180603,Search partners,Phrase match,73,0,2355,32260.273972602743,147.1875,0.2191780821917808,0,0,0,0,0
20180603,Google Search,Phrase match,547,0,98663,180371.11517367457,409.3900414937759,0.4405850091407678,0,0,0,0,0
20180603,Google Search,Broad match,376,0,73088,194382.97872340426,456.8,0.425531914893617,0,0,0,0,0
20180604,Search partners,Exact match,13,0,248,19076.923076923078,124,0.15384615384615385,0,0,0,0,0
20180604,Search partners,Phrase match,52,0,5311,102134.61538461539,252.9047619047619,0.40384615384615385,0,0,0,0,0
20180604,Google Search,Phrase match,624,0,193512,310115.3846153846,589.9756097560976,0.5256410256410257,0,0,0,0,0
20180604,Google Search,Exact match,432,0,45675,105729.16666666667,377.4793388429752,0.2800925925925926,0,0,0,0,0
20180604,Search partners,Broad match,9,0,1014,112666.66666666667,507,0.2222222222222222,0,0,0,0,0
20180604,Google Search,Broad match,482,0,117694,244178.42323651453,591.4271356783919,0.41286307053941906,0,0,0,0,0
20180605,Search partners,Exact match,21,0,183,8714.285714285714,183,0.047619047619047616,0,0,0,0,0
20180605,Google Search,Phrase match,656,0,182357,277983.23170731706,580.7547770700637,0.47865853658536583,0,0,0,0,0
20180605,Google Search,Exact match,495,0,63147,127569.69696969698,358.78977272727275,0.35555555555555557,0,0,0,0,0
20180605,Search partners,Broad match,26,0,1289,49576.92307692308,257.8,0.19230769230769232,0,0,0,0,0
20180605,Google Search,Broad match,437,0,147241,336935.9267734554,755.0820512820513,0.4462242562929062,0,0,0,0,0
20180605,Search partners,Phrase match,49,0,4498,91795.91836734694,321.2857142857143,0.2857142857142857,0,0,0,0,0
20180606,Search partners,Exact match,27,0,71,2629.6296296296296,71,0.037037037037037035,0,0,0,0,0
20180606,Google Search,Exact match,479,0,45976,95983.29853862213,268.8654970760234,0.3569937369519833,0,0,0,0,0
20180606,Search partners,Broad match,45,0,4762,105822.22222222223,396.8333333333333,0.26666666666666666,0,0,0,0,0
20180606,Search partners,Phrase match,88,0,7899,89761.36363636365,315.96,0.2840909090909091,0,0,0,0,0
20180606,Google Search,Broad match,497,0,118304,238036.21730382292,609.8144329896908,0.3903420523138833,0,0,0,0,0
20180606,Google Search,Phrase match,754,0,196196,260206.89655172414,530.2594594594594,0.4907161803713528,0,0,0,0,0
20180607,Search partners,Broad match,32,0,4916,153625,446.90909090909093,0.34375,0,0,0,0,0
20180607,Google Search,Broad match,465,0,129082,277595.6989247311,668.8186528497409,0.4150537634408602,0,0,0,0,0
20180607,Search partners,Phrase match,81,0,8931,110259.25925925926,388.30434782608694,0.2839506172839506,0,0,0,0,0
20180607,Google Search,Phrase match,718,0,172729,240569.63788300837,573.8504983388704,0.4192200557103064,0,0,0,0,0
20180607,Google Search,Exact match,414,0,35206,85038.64734299517,277.2125984251968,0.30676328502415456,0,0,0,0,0
20180607,Search partners,Exact match,27,0,448,16592.59259259259,224,0.07407407407407407,0,0,0,0,0
20180619,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180620,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180621,Google Search,Broad match,48,0,14846,309291.6666666667,345.25581395348837,0.8958333333333334,0,0,0,0,0
20180621,Search partners,Exact match,67,0,1485,22164.17910447761,247.5,0.08955223880597014,0,0,0,0,0
20180621,Google Search,Phrase match,1855,0,758546,408919.6765498652,503.01458885941645,0.8129380053908356,0,0,0,0,0
20180621,Search partners,Phrase match,131,0,31580,241068.70229007633,303.65384615384613,0.7938931297709924,0,0,0,0,0
20180621,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180621,Google Search,Exact match,7458,0,322957,43303.43255564494,378.61313012895664,0.1143738267632073,0,0,0,0,0
20180622,Search partners,Phrase match,123,0,16110,130975.60975609756,264.0983606557377,0.4959349593495935,0,0,0,0,0
20180622,Google Search,Broad match,37,0,9658,261027.02702702704,247.64102564102564,1.054054054054054,0,0,0,0,0
20180622,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180622,Search partners,Exact match,61,0,1230,20163.93442622951,175.7142857142857,0.11475409836065574,0,0,0,0,0
20180622,Google Search,Phrase match,2499,0,742072,296947.5790316126,367.3623762376238,0.8083233293317327,0,0,0,0,0
20180622,Google Search,Exact match,5878,0,271549,46197.516161959844,219.69983818770226,0.21027560394692071,0,0,0,0,0
20180623,Google Search,Broad match,14,0,4650,332142.8571428571,465,0.7142857142857143,0,0,0,0,0
20180623,Google Search,Phrase match,112,0,42155,376383.9285714286,458.20652173913044,0.8214285714285714,0,0,0,0,0
20180623,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180623,Google Search,Exact match,144,0,36179,251243.05555555556,524.3333333333333,0.4791666666666667,0,0,0,0,0
20180624,Google Search,Broad match,2,0,1204,602000,602,1,0,0,0,0,0
20180624,Google Search,Exact match,22,0,3028,137636.36363636365,432.5714285714286,0.3181818181818182,0,0,0,0,0
20180624,Google Search,Phrase match,18,0,6184,343555.5555555556,515.3333333333333,0.6666666666666666,0,0,0,0,0
20180625,Google Search,Broad match,1,0,505,505000,505,1,0,0,0,0,0
20180625,Google Search,Exact match,64,0,10419,162796.875,473.59090909090907,0.34375,0,0,0,0,0
20180625,Google Search,Phrase match,51,0,14951,293156.8627450981,482.2903225806451,0.6078431372549019,0,0,0,0,0
20180626,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180626,Google Search,Exact match,53,0,14426,272188.679245283,601.0833333333334,0.4528301886792453,0,0,0,0,0
20180626,Google Search,Phrase match,39,0,12091,310025.64102564106,465.03846153846155,0.6666666666666666,0,0,0,0,0
20180626,Google Search,Broad match,3,0,1077,359000,538.5,0.6666666666666666,0,0,0,0,0
20180627,Google Search,Exact match,48,0,7941,165437.5,529.4,0.3125,0,0,0,0,0
20180627,Google Search,Phrase match,37,0,7615,205810.81081081083,400.7894736842105,0.5135135135135135,0,0,0,0,0
20180628,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180628,Google Search,Exact match,41,0,6604,161073.1707317073,660.4,0.24390243902439024,0,0,0,0,0
20180628,Google Search,Phrase match,22,0,6001,272772.7272727273,428.6428571428571,0.6363636363636364,0,0,0,0,0
20180629,Google Search,Exact match,66,0,11478,173909.0909090909,604.1052631578947,0.2878787878787879,0,0,0,0,0
20180629,Google Search,Phrase match,28,0,6862,245071.42857142855,381.22222222222223,0.6428571428571429,0,0,0,0,0
20180629,Google Search,Broad match,1,0,714,714000,714,1,0,0,0,0,0
20180630,Google Search,Phrase match,29,0,7509,258931.0344827586,500.6,0.5172413793103449,0,0,0,0,0
20180630,Google Search,Broad match,3,0,1406,468666.6666666667,351.5,1.3333333333333333,0,0,0,0,0
20180630,Google Search,Exact match,59,0,10506,178067.7966101695,656.625,0.2711864406779661,0,0,0,0,0
20180701,Google Search,Broad match,11,0,2758,250727.27272727274,459.6666666666667,0.5454545454545454,0,0,0,0,0
20180701,Google Search,Exact match,29,0,8010,276206.8965517241,534,0.5172413793103449,0,0,0,0,0
20180701,Google Search,Phrase match,34,0,4771,140323.5294117647,397.5833333333333,0.35294117647058826,0,0,0,0,0
20180702,Google Search,Phrase match,36,0,7472,207555.55555555556,339.6363636363636,0.6111111111111112,0,0,0,0,0
