Fecha,Tipo de usuario,Número de sesiones,Días desde la última sesión,Usuarios,% Δ,Usuarios nuevos,% Δ,Sesiones,% Δ,% de nuevas sesiones,% Δ
20200826,Returning Visitor,3,100,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200818,Returning Visitor,5,43,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200819,Returning Visitor,172,29,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200825,Returning Visitor,20,1,1,,0,,1,,0,
20200827,Returning Visitor,8,13,1,,0,,1,,0,
20200809,Returning Visitor,5,11,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200811,Returning Visitor,10,7,1,,0,,1,,0,
20200818,Returning Visitor,142,13,1,,0,,1,,0,
20200819,Returning Visitor,67,6,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200817,Returning Visitor,2,47,1,,0,,1,,0,
20200819,Returning Visitor,11,3,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,1119,0,1,,0,,1,,0,
20200810,Returning Visitor,8,2,1,,0,,1,,0,
20200824,Returning Visitor,6,11,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200824,Returning Visitor,146,5,1,,0,,1,,0,
20200828,Returning Visitor,7,26,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,154,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200826,Returning Visitor,221,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,10,6,1,,0,,1,,0,
20200818,Returning Visitor,187,2,1,,0,,1,,0,
20200818,Returning Visitor,5,27,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200805,Returning Visitor,91,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200812,Returning Visitor,3,36,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,135,0,1,,0,,1,,0,
20200820,Returning Visitor,7,21,1,,0,,1,,0,
20200818,Returning Visitor,2,32,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,558,0,1,,0,,1,,0,
20200829,Returning Visitor,39,0,1,,0,,1,,0,
20200827,Returning Visitor,34,0,1,,0,,1,,0,
20200829,Returning Visitor,221,0,1,,0,,1,,0,
20200822,Returning Visitor,27,2,1,,0,,1,,0,
20200815,Returning Visitor,4,13,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200810,Returning Visitor,517,6,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,7,11,1,,0,,1,,0,
20200819,Returning Visitor,6,27,1,,0,,1,,0,
20200819,Returning Visitor,22,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200821,Returning Visitor,85,3,1,,0,,1,,0,
20200825,Returning Visitor,37,1,1,,0,,1,,0,
20200828,Returning Visitor,3,52,1,,0,,1,,0,
20200810,Returning Visitor,157,0,1,,0,,1,,0,
20200812,Returning Visitor,410,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200826,Returning Visitor,35,0,1,,0,,1,,0,
20200813,Returning Visitor,2,54,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,281,0,1,,0,,1,,0,
20200827,Returning Visitor,161,1,1,,0,,1,,0,
20200815,Returning Visitor,3,161,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200811,Returning Visitor,88,2,1,,0,,1,,0,
20200815,Returning Visitor,48,0,1,,0,,1,,0,
20200827,Returning Visitor,4,84,1,,0,,1,,0,
20200818,Returning Visitor,5,8,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,41,0,1,,0,,1,,0,
20200826,Returning Visitor,3,40,1,,0,,1,,0,
20200811,Returning Visitor,5,101,1,,0,,1,,0,
20200823,Returning Visitor,2,91,1,,0,,1,,0,
20200811,Returning Visitor,294,0,1,,0,,1,,0,
20200813,Returning Visitor,8,7,1,,0,,1,,0,
20200821,Returning Visitor,10,7,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200816,Returning Visitor,3,15,1,,0,,1,,0,
20200820,Returning Visitor,73,14,1,,0,,1,,0,
20200825,Returning Visitor,104,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200806,Returning Visitor,241,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,124,1,1,,0,,1,,0,
20200830,Returning Visitor,408,0,1,,0,,1,,0,
20200827,Returning Visitor,5,5,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,13,10,1,,0,,1,,0,
20200822,Returning Visitor,327,0,1,,0,,1,,0,
20200825,Returning Visitor,31,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200810,Returning Visitor,156,2,1,,0,,1,,0,
