Fecha,Página de destino,Resultados,% Δ,Total de búsquedas únicas,% Δ,Número de páginas vistas de resultados,% Δ,Sesiones con búsquedas,% Δ,% de sesiones con búsquedas,% Δ,Búsquedas orgánicas,% Δ,Media de páginas por búsqueda,% Δ,Refinamientos de búsqueda,% Δ,% de refinamientos de búsqueda,% Δ,Tiempo después de búsqueda,% Δ,Salidas,% Δ,Porcentaje de salidas,% Δ,Tasa de conversión de los objetivos de búsquedas en el sitio,% Δ,Valor del objetivo por búsqueda,% Δ
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=trafico+5&submit_search=,20,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.05,0,null,,0,
20200804,/ceramica-italia/3054-mueble-de-15-mm-baeza-maple,14,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,6,0,0.8571428571428571,0,null,,0,
20200804,"/Synergy/CuteSoft_Client/CuteEditor/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=0&Type=1319&Resultcols=BacoDiscussions.ID,HID,Subject&Resultformats=0,9,0&IsModal=1",1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/1884-troyano-blanco-315x315,5,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,3,0,0.6,0,null,,0,
20200804,/buscar?search_query=piedras+facha&submit_search=&orderby=quantity&orderway=desc&orderway=desc,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.25,0,null,,0,
20200804,/ceramica-italia/2108-argo-terra,26,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,12,0,0.46153846153846156,0,null,,0,
20200804,/ceramica-italia/2058-donatello-crema,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.6666666666666666,0,null,,0,
20200804,/ceramica-italia/1974-loreto-blanco,34,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,3,0,0.09375,0,null,,0,
20200804,/ceramica-italia/2134-diamante-milazzo,15,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,4,0,0.26666666666666666,0,null,,0,
20200804,/blackf/index.php?product_rewrite=urbe-nature-60x60-primera-sala-bogota&controller=product,9,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,2,0,0.2857142857142857,0,null,,0,
20200804,/ceramica-italia/3030-mersi-gris-28x45,6,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,0.16666666666666666,0,null,,0,
20200804,/pedido-rapido,6,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2020-palmi-crema?search_query=palmi+crema&results=12,6,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.16666666666666666,0,null,,0,
20200804,/ceramica-italia/1898-spada-blanco-60x60,25,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,7,0,0.30434782608695654,0,null,,0,
20200804,/ceramica-italia/2941-vulcano-gris-55x55,8,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,8,0,1,0,null,,0,
20200804,/ceramica-italia/2992-melrose-45x901,8,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,0.125,0,null,,0,
20200804,/bohemica/,59,0,0,,0,,0,,0,,6,0,0,,0,,null,,0,,6,0,0.1016949152542373,0,null,,0,
20200804,/ceramica-italia/2142-kit-griferia-mezcladora-florencia-4,10,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,2,0,0.25,0,null,,0,
20200804,/ec/BanosSanitarios.php,21,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,3,0,0.14285714285714285,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=holi&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/3007-savelli-315x315,3,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,2,0,0.6666666666666666,0,null,,0,
20200804,/buscar?search_query=DIAMANTE+PRINCIPESSA+&submit_search=,1,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/clientes/agenda/d3/index.asp?lcodigo=0,20,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,8,0,0.4,0,null,,0,
20200804,/banos,384,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,56,0,0.16184971098265896,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=mersi&submit_search=,8,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.125,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=sanitario+smart+redondo+single+blanco&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=PARKET+FRESNO&submit_search=,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.5,0,null,,0,
20200804,/ceramica-italia/2259-sanitario-bari-blanco,4,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/3171-lavamanos-barcelona-mj-blanco-,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/3095-el-beso,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2067-exterior-greco,139,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,60,0,0.43478260869565216,0,null,,0,
20200804,/ceramica-italia/2768-spada-blanco-30x60,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.5,0,null,,0,
20200804,/ceramica-italia/3022-retro-hipster-nickel-55x55,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.5,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=PRIORI GRIS &submit_search=,3,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,2,0,0.6666666666666666,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=Para+pared&submit_search=,14,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.07142857142857142,0,null,,0,
20200804,/,10104,0,0,,0,,0,,0,,410,0,0,,0,,null,,0,,1587,0,0.16154315960912052,0,null,,0,
20200804,/ceramica-italia/2112-dolcetto-natural,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/paredes-banos,137,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,40,0,0.2962962962962963,0,null,,0,
20200804,/ceramica-italia/1993-macerata-marfil,33,0,0,,0,,0,,0,,6,0,0,,0,,null,,0,,21,0,0.65625,0,null,,0,
20200804,/ceramica-italia/3176-lavamanos-praga-mj-gold,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2167-juego-accesorios-metalicos-n-7,2,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/1881-oriana-blanco,3,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,3,0,1,0,null,,0,
20200804,/ceramica-italia/2073-exterior-selci,2,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramitips/category/1_ceramitips.html,1,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/?RedirectDataSource=1,96,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,65,0,0.6914893617021277,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=sabino&submit_search=,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.5,0,null,,0,
