Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS),day
2020-01-11,Search partners,Phrase match,78,0,5045.0,64679.48717948718,458.6363636363636,0.14102564102564102,0.0,458.6363636363636,458.6363636363636,0.0,0.0,Friday
2020-01-11,Google Search,Exact match,501,0,76022.0,151740.51896207585,330.53043478260867,0.4590818363273453,0.0,402.23280423280426,402.23280423280426,0.0,0.0,Friday
2020-01-12,Search partners,Phrase match,41,0,3307.0,80658.53658536584,413.375,0.1951219512195122,0.0,0.0,0.0,0.0,0.0,Saturday
2020-01-12,Google Search,Phrase match,164,0,57562.0,350987.8048780488,436.0757575757576,0.8048780487804879,0.0,1065.962962962963,1065.962962962963,0.0,0.0,Saturday
2020-01-12,Google Search,Exact match,479,0,46479.0,97033.40292275572,170.2527472527473,0.569937369519833,0.0,301.8116883116884,301.8116883116884,0.0,0.0,Saturday
2020-01-13,Search partners,Phrase match,80,0,6670.0,83375.0,667.0,0.125,0.0,513.0769230769231,513.0769230769231,0.0,0.0,Sunday
2020-01-13,Google Search,Exact match,488,0,38301.0,78485.65573770492,143.98872180451127,0.5450819672131147,0.0,200.52879581151836,200.52879581151836,0.0,0.0,Sunday
2020-01-13,Google Search,Phrase match,190,0,68789.0,362047.36842105264,477.70138888888886,0.7578947368421053,0.0,1433.104166666667,1433.104166666667,0.0,0.0,Sunday
2020-01-14,Search partners,Exact match,8,0,366.0,45750.0,366.0,0.125,0.0,73.2,73.2,0.0,0.0,Monday
2020-01-14,Search partners,Phrase match,55,0,2517.0,45763.63636363637,503.4,0.09090909090909093,0.0,503.4,503.4,0.0,0.0,Monday
2020-01-14,Google Search,Phrase match,211,0,62897.0,298090.0473933649,452.49640287769785,0.6587677725118484,0.0,1462.7209302325582,1462.7209302325582,0.0,0.0,Monday
2020-01-14,Google Search,Exact match,539,0,86710.0,160871.98515769944,336.08527131782944,0.4786641929499073,0.0,619.3571428571427,619.3571428571427,0.0,0.0,Monday
2020-01-27,Google Search,Phrase match,6,0,5980.0,996666.6666666664,854.2857142857142,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,Sunday
2020-01-27,Google Search,Broad match,3,0,638.0,212666.66666666663,212.66666666666663,1.0,0.0,0.0,0.0,0.0,0.0,Sunday
2020-01-27,Google Search,Exact match,18,0,4399.0,244388.8888888889,366.58333333333326,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Sunday
2020-01-28,Search partners,Phrase match,19,0,5299.0,278894.73684210534,588.7777777777778,0.4736842105263158,0.0,0.0,0.0,0.0,0.0,Monday
2020-01-28,Google Search,Broad match,32,0,49207.0,1537718.75,1587.3225806451615,0.96875,0.0,4473.363636363636,4473.363636363636,0.0,0.0,Monday
2020-01-28,Google Search,Phrase match,227,0,418781.0,1844850.2202643168,2125.791878172589,0.8678414096916299,0.0,5368.98717948718,5368.98717948718,0.0,0.0,Monday
2020-01-28,Google Search,Exact match,323,0,257392.0,796879.2569659442,2474.923076923077,0.3219814241486068,0.0,6773.4736842105285,6773.4736842105285,0.0,0.0,Monday
2020-01-28,Search partners,Exact match,5,0,442.0,88400.0,221.0,0.4,0.0,0.0,0.0,0.0,0.0,Monday
2020-01-29,Search partners,Phrase match,33,0,7073.0,214333.33333333328,707.3,0.30303030303030304,0.0,1414.6,1414.6,0.0,0.0,Tuesday
2020-01-29,Google Search,Broad match,85,0,55811.0,656600.0,1094.3333333333333,0.6,0.0,1744.09375,1744.09375,0.0,0.0,Tuesday
2020-01-29,Search partners,Broad match,3,0,320.0,106666.66666666669,320.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,Tuesday
