Fecha,Dominio del emplazamiento,Tipo de emplazamiento,URL del emplazamiento,Google Ads: grupo de anuncios,Google Ads: espacio publicitario,Anuncios de vídeo TrueView,Usuarios,Sesiones,Duración media de la sesión,Páginas/Sesión,Número de páginas vistas,Porcentaje de rebote
2020-01-08,mobileapp::2-com.ninexgen.explorer,Automatic placements,mobileapp::2-com.ninexgen.explorer,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-20,mobileapp::2-com.candy.show.easter.crush,Automatic placements,mobileapp::2-com.candy.show.easter.crush,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.games.colorballs3d,Automatic placements,mobileapp::2-com.games.colorballs3d,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-11,mobileapp::2-easy.sudoku.puzzle.solver.free,Automatic placements,mobileapp::2-easy.sudoku.puzzle.solver.free,Italcombos Segmentacion Display,Google Display Network,No,3,11,0.0,1.0,11,1.0
2020-01-20,weather.com,Automatic placements,weather.com/es-US/tiempo/horario/l/971ca218c73cc9719101d9c3666181aa31895781ef3cdce97aa198a44ec7e9f7,Smart Display - Italcombos Clic,Google Display Network,No,3,3,0.0,1.6666666666666667,5,0.0
2020-01-05,mobileapp::2-com.superbox.aos.jewelsjungle,Automatic placements,mobileapp::2-com.superbox.aos.jewelsjungle,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-21,mobileapp::2-com.easybrain.jigsaw.puzzles,Automatic placements,mobileapp::2-com.easybrain.jigsaw.puzzles,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-10,mobileapp::1-1434957889,Automatic placements,mobileapp::1-1434957889,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-15,mobileapp::2-com.sweetfuirt.candy,Automatic placements,mobileapp::2-com.sweetfuirt.candy,Italcombos Segmentacion Display,Google Display Network,No,30,38,0.0,1.0,38,1.0
2020-01-10,mobileapp::2-org.reyfasoft.reinavalera1960,Automatic placements,mobileapp::2-org.reyfasoft.reinavalera1960,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-23,youtube.com,Automatic placements,www.youtube.com/results,Shopping de Producto,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-16,mobileapp::2-bubble.game.shooter.bird.pop,Automatic placements,mobileapp::2-bubble.game.shooter.bird.pop,Anuncios dinámicos Display,Google Display Network,No,3,3,63.66666666666666,5.333333333333333,16,0.0
